Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Panin, N., Jipa, D.","Danube river sediment input and its interaction with the north-western Black Sea",2002,"Estuarine, Coastal and Shelf Science","54","3",,"551","562",,65,10.1006/ecss.2000.0664,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036522660&partnerID=40&md5=bc8a7ea04c49e2db3738b240316563c5",Article,Scopus,2-s2.0-0036522660
"Garcette-Lepecq, A., Derenne, S., Largeau, C., Bouloubassi, I., Saliot, A.","Thermally assisted hydrolysis and methylation of kerogen-like organic matter in a recent sediment off the Danube delta (northwestern Black Sea)",2001,"Journal of Analytical and Applied Pyrolysis","61","1-2",,"147","164",,18,10.1016/S0165-2370(01)00133-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035501463&partnerID=40&md5=5af1334a6776aaae5736120943760d88",Article,Scopus,2-s2.0-0035501463
"Navodaru, I., Staras, M., Cernisencu, I.","The challenge of sustainable use of the Danube delta fisheries, Romania",2001,"Fisheries Management and Ecology","8","4-5",,"323","332",,17,10.1046/j.1365-2400.2001.00257.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034812179&partnerID=40&md5=27baa8f4f525970d036d4396cfc9df38",Article,Scopus,2-s2.0-0034812179
"Dinescu, L.C., Duliu, O.G.","Heavy metal pollution of some Danube Delta lacustrine sediments studied by neutron activation analysis",2001,"Applied Radiation and Isotopes","54","5",,"853","859",,9,10.1016/S0969-8043(00)00332-8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035126471&partnerID=40&md5=629c5c8ce0a16ca2ba68796fe919cc6e",Article,Scopus,2-s2.0-0035126471
"Boja, V., Popescu, I.","Social ecology in the Danube Delta: Theory and practice",2000,"Lakes and Reservoirs: Research and Management","5","2",,"125","131",,6,10.1046/j.1440-1770.2000.00107.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034583474&partnerID=40&md5=b169df1818c012205e3229e8fe66e907",Article,Scopus,2-s2.0-0034583474
"Bostan, V., Dominik, J., Bostina, M., Pardos, M.","Forms of particulate phosphorus in suspension and in bottom sediment in the Danube Delta",2000,"Lakes and Reservoirs: Research and Management","5","2",,"105","110",,18,10.1046/j.1440-1770.2000.00104.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034583192&partnerID=40&md5=e23bf21f5cf374fbba58a90441b7455c",Article,Scopus,2-s2.0-0034583192
"Garcette-Lepecq, A., Derenne, S., Largeau, C., Bouloubassi, I., Saliot, A.","Origin and formation pathways of kerogen-like organic matter in recent sediments off the Danube delta (northwestern Black Sea)",2000,"Organic Geochemistry","31","12",,"1663","1683",,34,10.1016/S0146-6380(00)00100-5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034352426&partnerID=40&md5=bf9d6d7299410dca2439e20f8cab971e",Article,Scopus,2-s2.0-0034352426
"Duliu, O.G., Dinescu, L.C., Mihãilescu, N.G.","137Cs vertical distribution in lacustrine sediments of the Danube Delta",2000,"Journal of Trace and Microprobe Techniques","18","1",,"61","72",,6,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0006051637&partnerID=40&md5=6863356c3316537239bdfbb208ca9abe",Article,Scopus,2-s2.0-0006051637
"Paucã-Comãnescu, M., Clevering, O.A., Hanganu, J., Gridin, M.","Phenotypic differences among ploidy levels of Phragmites australis growing in Romania",1999,"Aquatic Botany","64","3-4",,"223","234",,26,10.1016/S0304-3770(99)00052-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0345410958&partnerID=40&md5=6ad42c648b5e20c119680cae3c297ef4",Article,Scopus,2-s2.0-0345410958
"Rolletschek, H., Hartzendorf, T., Rolletschek, A., Kohl, J.-G.","Biometric variation in Phragmites australis affecting convective ventilation and amino acid metabolism",1999,"Aquatic Botany","64","3-4",,"291","302",,16,10.1016/S0304-3770(99)00057-1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032845915&partnerID=40&md5=993ed2dbaaeffb331d197133e7e136f2",Article,Scopus,2-s2.0-0032845915
"Dobraca, L.","La gestion des aires critiques : Le Delta du Danube entre isolement et réserve",1999,"Mappemonde","53","1",,"15","19",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032967618&partnerID=40&md5=9cd6b1f64ff072c65a1b52c0c9fa7d9d",Article,Scopus,2-s2.0-0032967618
