Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Russev, N.D., Redina, E.F.","A nomad's burial with byzantine coins found near katlabukh lake and development of ethno-political situation in the lower danube region in 12th century",2015,"Stratum Plus",,"6",,"99","107",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957946557&partnerID=40&md5=11ae8945b6c79855139e4b8b5fdfd2ee",Article,Scopus,2-s2.0-84957946557
"Schweitzer, F.","Drainage network development in the Pannonian basin",2015,"Hungarian Geographical Bulletin","64","2",,"101","119",,,10.15201/hungeobull.64.2.2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936939350&partnerID=40&md5=ff54db14108a4a0a16dafba4131c3b16",Article,Scopus,2-s2.0-84936939350
"Tölgyesi, C., Bátori, Z., Erdos, L., Gallé, R., Körmöczi, L.","Plant diversity patterns of a Hungarian steppe-wetland mosaic in relation to grazing regime and land use history",2015,"Tuexenia","35","1",,"399","416",,1,10.14471/2015.35.006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946012612&partnerID=40&md5=0a6fa80365f201c0d464b2213fd59533",Article,Scopus,2-s2.0-84946012612
"Umlauf, G., Christoph, E.H., Huber, T., Mariani, G., Müller, A., Skejo, H., Wollgast, J.","Semivolatile Organic Compounds in Water, Suspended Particulate Matter, Sediments and Biota in the Danube",2015,"Handbook of Environmental Chemistry","39",,,"133","196",,,10.1007/698-2014-317,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950312066&partnerID=40&md5=95f81a0859c21a330c4590045b7bacb0",Article,Scopus,2-s2.0-84950312066
"Gallusová, M., Qablan, M.A., D'Amico, G., Oborník, M., Petrželková, K.J., Mihalca, A.D., Modrý, D.","Piroplasms in feral and domestic equines in rural areas of the Danube Delta, Romania, with survey of dogs as a possible reservoir",2014,"Veterinary Parasitology","206","3-4",,"287","292",,3,10.1016/j.vetpar.2014.10.018,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919616990&partnerID=40&md5=99d5a3f1788aa41f61073545d1cbdd95",Article,Scopus,2-s2.0-84919616990
"Ionuş, O., Licurici, M., Pătroescu, M., Boengiu, S.","Assessment of flood-prone stripes within the Danube drainage area in the South-West Oltenia Development Region, Romania",2014,"Natural Hazards","75","1",,"69","88",,,10.1007/s11069-013-0720-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961340096&partnerID=40&md5=5984056d7f9e3202226b899a715d398d",Article,Scopus,2-s2.0-84961340096
"Burada, A., Odor, D.S., Teodorof, L., Nastase, C., Nastase, A., Navodaru, I., Georgescu, L.P.","Mercury levels in fish tissues with and without commercial value from Danube delta biosphere",2014,"Journal of Environmental Protection and Ecology","15","3",,"842","850",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949124963&partnerID=40&md5=d86d1b9d52fe68229591b9ac370e89ba",Article,Scopus,2-s2.0-84949124963
"Deak, G., Badilita, A.M., Danalache, T., Tudor, M.","Use of acoustic telemetry for providing an insight into sturgeons behaviour and migration routes on lower Danube",2014,"Journal of Environmental Protection and Ecology","15","3",,"954","964",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949117290&partnerID=40&md5=75eb987539e71f9bec0335b273b8d8b2",Article,Scopus,2-s2.0-84949117290
"Bódis, E., Tóth, B., Szekeres, J., Borza, P., Sousa, R.","Empty native and invasive bivalve shells as benthic habitat modifiers in a large river",2014,"Limnologica","49",,,"1","9",,8,10.1016/j.limno.2014.07.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907518773&partnerID=40&md5=5a42addd424373b6b2855c417ec3d052",Article,Scopus,2-s2.0-84907518773
"Simic´, V.M., Simic´, S.B., Stojkovic´ Piperac, M., Petrovic´, A., Milosˇevic´, D.","Commercial fish species of inland waters: A model for sustainability assessment and management",2014,"Science of the Total Environment","497-498",,,"642","650",,3,10.1016/j.scitotenv.2014.07.092,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906678586&partnerID=40&md5=a3b759c845bf41f9c1905e3609e49e4c",Article,Scopus,2-s2.0-84906678586
"Seibert, S.P., Skublics, D., Ehret, U.","The potential of coordinated reservoir operation for flood mitigation in large basins - A case study on the Bavarian Danube using coupled hydrological-hydrodynamic models",2014,"Journal of Hydrology","517",,,"1128","1144",,5,10.1016/j.jhydrol.2014.06.048,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904390046&partnerID=40&md5=0c22a675c4017ad8091684d41aaf5b04",Article,Scopus,2-s2.0-84904390046
"Gergs, R., Koester, M., Grabow, K., Schöll, F., Thielsch, A., Martens, A.","Theodoxus fluviatilis' re-establishment in the River Rhine: a native relict or a cryptic invader?",2014,"Conservation Genetics",,,,"","",,,10.1007/s10592-014-0651-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906601739&partnerID=40&md5=7273dda1a9f647bc538e866d552bad81",Article in Press,Scopus,2-s2.0-84906601739
"Nagy, A.S., Szabó, J., Vass, I.","Occurrence and distribution of polycyclic aromatic hydrocarbons in surface water and sediments of the Danube River and its tributaries, Hungary",2014,"Journal of Environmental Science and Health - Part A Toxic/Hazardous Substances and Environmental Engineering","49","10",,"1134","1141",,,10.1080/10934529.2014.897155,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901299288&partnerID=40&md5=c581c2d7f51fd996fc697a54b36b9068",Article,Scopus,2-s2.0-84901299288
"Srdjevic, Z., Srdjevic, B.","Modelling Multicriteria Decision Making Process for Sharing Benefits from the Reservoir at Serbia-Romania Border",2014,"Water Resources Management",,,,"","",,,10.1007/s11269-014-0723-y,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903402299&partnerID=40&md5=b7d555d296f81522880b3d15e2a60f4c",Article in Press,Scopus,2-s2.0-84903402299
