Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Li, H., Zhou, G.Y., Zhang, H.Y.","Research and utilization status of natural bamboo fiber",2011,"Advanced Materials Research",159,,,236,241,,1,10.4028/www.scientific.net/AMR.159.236,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79953719077&partnerID=40&md5=ad4617223098dd952c8d35f96ac941e0",Conference Paper,Scopus,2-s2.0-79953719077
"Kaßner, C.","Environmental Protection and Occupational Safety in Hot-Dip Galvanizing Plants",2011,"Handbook of Hot-Dip Galvanization",,,,185,237,,,10.1002/9783527636884.ch6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84885550895&partnerID=40&md5=4abbb34a6f69a919426ede4bdf772977",Book Chapter,Scopus,2-s2.0-84885550895
"Fernández-Saiz, P., Lagaron, J.M.","Chitosan for Film and Coating Applications",2011,"Biopolymers - New Materials for Sustainable Films and Coatings",,,,87,105,,1,10.1002/9781119994312.ch5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84886185307&partnerID=40&md5=012ae246b20558b7601e5cc744c685b1",Book Chapter,Scopus,2-s2.0-84886185307
"Shi, W., Yang, J., Lin, F.","A research of preparing environmental friendly rubber processing oil by extraction",2011,"Petroleum Processing and Petrochemicals",42,4,,70,73,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79955488025&partnerID=40&md5=4e0404954026ba0c814ebd72f59fb5a5",Article,Scopus,2-s2.0-79955488025
"Wang, M., Liu, J., Wu, Z., Liu, G.","Effect of ground-source heat pump applied to piggery on energy saving and emission reduction",2011,"Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering",27,4,,251,254,,5,10.3969/j.issn.1002-6819.2011.04.044,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79959765723&partnerID=40&md5=f3b42eda374fe439cb8422699fe598fc",Article,Scopus,2-s2.0-79959765723
"Fasana, S., Nelva, R.","Improvement of the performance of traditional stone roofs by wind driven rain experimental tests",2011,"Construction and Building Materials",25,4,,1491,1502,,4,10.1016/j.conbuildmat.2010.09.040,"https://www.scopus.com/inward/record.url?eid=2-s2.0-78650865115&partnerID=40&md5=24ce4776aa7607dd38a92029523014d4",Review,Scopus,2-s2.0-78650865115
"Jensen, H.K.B., Eggen, O.A., Frøland, S.L., Skårn, J.S.","Polycyclic Aromatic Hydrocarbons in Urban Surface Soil in Oslo, Bergen and Trondheim, Norway: PAH16 Levels, Compositions and Ratios",2011,"Mapping the Chemical Environment of Urban Areas",,,,457,472,,4,10.1002/9780470670071.ch26,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84886126533&partnerID=40&md5=84d096c868da202def6f6fd7ae0d1547",Book Chapter,Scopus,2-s2.0-84886126533
"Lax, K., Andersson, M.","Geochemical Baseline Levels and Suggested Local Guideline Values in Urban Areas in Sweden",2011,"Mapping the Chemical Environment of Urban Areas",,,,207,222,,2,10.1002/9780470670071.ch14,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84886196096&partnerID=40&md5=49d770dbc55388e3f9c92735585a6aee",Book Chapter,Scopus,2-s2.0-84886196096
"Guan, D.G., Sun, C.M., Lin, J.H., Sun, Y., Xu, G.L., Lei, T.","Preparation by electroless plating and electromagnetic shielding effectiveness of Ni-Cu-Coated calcium-magnesium silicate whisker",2011,"Advanced Materials Research",189-193,,,400,403,,,10.4028/www.scientific.net/AMR.189-193.400,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79952524775&partnerID=40&md5=99c9baad5f3bc02cbd8cecaac931b021",Conference Paper,Scopus,2-s2.0-79952524775
"Ziolkowska, J., Simon, L.","Environmental implications of biofuels - Theoretical and empirical analysis for the EU and US",2011,"Nihon Enerugi Gakkaishi/Journal of the Japan Institute of Energy",90,2,,177,181,,4,10.3775/jie.90.177,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79952429742&partnerID=40&md5=17f9032e1cc1e71d551b65a0e4db6cfc",Article,Scopus,2-s2.0-79952429742
"Emrizal, Razman, M.R., Jahi, J.M.","Study on human habitat and environmental protection: Focusing on the criminal law and the concept of sustainability",2011,"Research Journal of Applied Sciences",6,1,,10,14,,13,10.3923/rjasci.2011.10.14,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79952019330&partnerID=40&md5=871b0f7cb7f413ea0d4fb940300d74d0",Article,Scopus,2-s2.0-79952019330
"Tso, G.K.F., Yau, K.K.W., Yang, C.Y.","Sustainable Development Index in Hong Kong: Approach, Method and Findings",2011,"Social Indicators Research",101,1,,93,108,,2,10.1007/s11205-010-9638-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79551528775&partnerID=40&md5=c4296442d6851020d7192e35a040bb79",Article,Scopus,2-s2.0-79551528775
"Soylu, K., Dumville, J.C.","Design for environment: The greening of product and supply chain",2011,"Maritime Economics and Logistics",13,1,,29,43,,7,10.1057/mel.2010.19,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79951865449&partnerID=40&md5=52d03c050f2e0ac9d16ea042aec55f1f",Article,Scopus,2-s2.0-79951865449
"Lin, N., Yang, J.Y., Wu, Z.Y., Wang, H.J., Zhu, J.H.","Tailoring the Al-distribution and performance of mesoporous silica SBA-15 through one-pot synthesis",2011,"Microporous and Mesoporous Materials",139,1-3,,130,137,,17,10.1016/j.micromeso.2010.10.029,"https://www.scopus.com/inward/record.url?eid=2-s2.0-78649826891&partnerID=40&md5=4c3ec594f356b4d546edc268b7c3519c",Article,Scopus,2-s2.0-78649826891
"Julesz, M.","The sociology of justice in the mirror of environmental law | Az igazság szociológiája a környezetvé delmi jog tükrében",2011,"Tarsadalomkutatas",29,1,,100,111,,,10.1556/Tarskut.29.2011.1.8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79954626180&partnerID=40&md5=05220f1c025e8768d9b5b6bb57a6363f",Article,Scopus,2-s2.0-79954626180
"Li, G., Pang, X.-F.","Biological effects of environmental electromagnetic fields",2011,"Advanced Materials Research",183-185,,,532,536,,5,10.4028/www.scientific.net/AMR.183-185.532,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79751517807&partnerID=40&md5=99f621b69867e6f3c68407f2518312f5",Conference Paper,Scopus,2-s2.0-79751517807
"Xu, Y.-L., Cheng, P.-F., Liu, G.-F., Lei, M.-C.","Cold recycling of waste asphalt pavement in cold region",2011,"Advanced Materials Research",183-185,,,319,322,,,10.4028/www.scientific.net/AMR.183-185.319,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79751520933&partnerID=40&md5=04db165ad1fecf11286eaf1484fa7dfa",Conference Paper,Scopus,2-s2.0-79751520933
"Popenda, A., Rusek, A.","Influence of converter-fed ac drives on vicinity | Oddziaływanie przekształtnikowych napȩdów pra̧du przemiennego na otoczenie",2011,"Przeglad Elektrotechniczny",87,2,,119,121,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79551673683&partnerID=40&md5=b717a5ff93079982f33fe8d163d248e1",Article,Scopus,2-s2.0-79551673683
"Ming, L.","Discuss on China's green building materials development",2011,"Key Engineering Materials",460-461,,,593,598,,,10.4028/www.scientific.net/KEM.460-461.593,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79551488791&partnerID=40&md5=60ec7ba4c3a1fda89a2bf27d800979b6",Conference Paper,Scopus,2-s2.0-79551488791
