Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Tuzen, M., Verep, B., Ogretmen, A.O., Soylak, M.","Trace element content in marine algae species from the Black Sea, Turkey",2009,"Environmental Monitoring and Assessment","151","1-4",,"363","368",,10,10.1007/s10661-008-0277-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-62149136958&partnerID=40&md5=921949ee396829495b5af0d350c6e70a",Article,Scopus,2-s2.0-62149136958
"Selifonova, Z.P.","Oithona brevicornis Giesbrecht (Copepoda, Cyclopoida) in harborages of the northeastern part of the Black Sea shelf",2009,"Inland Water Biology","2","1",,"30","32",,7,10.1134/S1995082909010052,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-65549111387&partnerID=40&md5=f442d19ccd202393a3d51449f412a28d",Article,Scopus,2-s2.0-65549111387
"Sachsenhofer, R.F., Stummer, B., Georgiev, G., Dellmour, R., Bechtel, A., Gratzer, R., Ćorić, S.","Depositional environment and hydrocarbon source potential of the Oligocene Ruslar Formation (Kamchia Depression; Western Black Sea)",2009,"Marine and Petroleum Geology","26","1",,"57","84",,10,10.1016/j.marpetgeo.2007.08.004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-57049149083&partnerID=40&md5=6823a7fb6e5263fe6ab8d26d7c55ccd9",Article,Scopus,2-s2.0-57049149083
"Kvach, Y.","First report of saduria (Mesidotea) entomon (Linnaeus, 1758) (Isopoda: Chaetiliidae) in the Black Sea",2009,"Aquatic Invasions","4","2",,"393","395",,,10.3391/ai.2009.4.2.17,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905719562&partnerID=40&md5=6f16906bda17c058c31d6d99a229f8f8",Article,Scopus,2-s2.0-84905719562
"Levesque, J.C.","Characterization of the southeastern US black sea bass (Centropristis striata) pot commercial fishery and implications for western North Atlantic right whale (Eubalaena glacialis) management and policy",2009,"Marine Policy","33","1",,"40","48",,1,10.1016/j.marpol.2008.04.007,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-56949092244&partnerID=40&md5=b36625242e120f4dcd05cd5c742f0e4c",Article,Scopus,2-s2.0-56949092244
"Londeix, L., Herreyre, Y., Turon, J.-L., Fletcher, W.","Last Glacial to Holocene hydrology of the Marmara Sea inferred from a dinoflagellate cyst record",2009,"Review of Palaeobotany and Palynology","158","1-2",,"52","71",,12,10.1016/j.revpalbo.2009.07.004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449701518&partnerID=40&md5=e39f3237bd6572fae7ea8938544a5550",Article,Scopus,2-s2.0-70449701518
"Çevik, U., Damla, N., Kobya, A.I., Bulut, V.N., Duran, C., Dalgic, G., Bozaci, R.","Assessment of metal element concentrations in mussel (M. Galloprovincialis) in Eastern Black Sea, Turkey",2008,"Journal of Hazardous Materials","160","2-3",,"396","401",,40,10.1016/j.jhazmat.2008.03.010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-54549088784&partnerID=40&md5=15e1fa5db8a9821f7d4b7abe90ae88c7",Article,Scopus,2-s2.0-54549088784
"Culha, S.T., Celik, M.Y., Culha, M., Karayucel, I., Gundogdu, A.","The trace elements in the raft cultivated mussels (Mytilus galloprovincialis Lamarck, 1819) from Sinop Peninsula, in the southern Black Sea",2008,"Journal of Animal and Veterinary Advances","7","12",,"1618","1623",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-56849124664&partnerID=40&md5=a58bc5dcd525c64efca3f910165f5089",Article,Scopus,2-s2.0-56849124664
"Petrova, D.","Major bloom producing phytoplankton species in the lakes along the bulgarian black sea coast",2008,"Bulgarian Journal of Agricultural Science","14","2",,"201","208",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350329166&partnerID=40&md5=f20b0663c87be8738ba7eeeb44ec599c",Article,Scopus,2-s2.0-70350329166
"Surugiu, V.","Zoogeographical origin of the polychaete fauna of the Black and Azov seas",2008,"Cahiers de Biologie Marine","49","4",,"351","354",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-58049201807&partnerID=40&md5=d3d10321650373eb1f8820dcdd5e056f",Article,Scopus,2-s2.0-58049201807
"Toksoy, D., Şen, G., Özden, S., Ayaz, H.","The forestry organization and its relationship with local people in the Eastern Black Sea Region of Turkey",2008,"New Medit","7","4",,"47","53",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-72849148778&partnerID=40&md5=215d3c629d65be535cd5b12c32fbf050",Article,Scopus,2-s2.0-72849148778
"Kara, A.B., Barron, C.N., Wallcraft, A.J., Oguz, T.","Interannual variability of sea surface height over the Black Sea: Relation to climatic patterns",2008,"Earth Interactions","12","10",,"1","11",,1,10.1175/2008EI259.1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956524990&partnerID=40&md5=99e28a702a5856627943810636d543d9",Article,Scopus,2-s2.0-77956524990
