"","Authors","Title","Year","Cited.by","Affiliations","EID"
"89","Dumitrache I.","Ancient literary sources concerning fishing and fish processing in the Black Sea region",2015,NA,"Alexandru Ioan Cuza university of iasi, Romania","2-s2.0-84947968753"
"90","Suaria G., Melinte-Dobrinescu M.C., Ion G., Aliani S.","First observations on the abundance and composition of floating debris in the North-western Black Sea",2015,1,"CNR-ISMAR National Research Council - Institute of Marine Sciences, Pozzuolo di Lerici, La Spezia, Italy; GeoEcoMar Institute, 23-25 Str. Dimitrie Onciul, Bucharest, Romania","2-s2.0-84929012515"
"91","Galabov V., Kortcheva A., Bogatchev A., Tsenova B.","Investigation of the hydro-meteorological hazards along the bulgarian coast of the Black Sea by reconstructions of historical storms",2015,NA,"National Institute of Meteorology and Hydrology, Bulgarian Academy of Sciences (NIMH-BAS), 66 Tsarigrasko Shose, Sofia, Bulgaria","2-s2.0-84946721277"
"92","Coatu V., Oros A., Tiganus D., Lazar L.","Assessment of chemical contamination in Biota from Romanian Marine Waters in respect with maximum admissible levels regulated by legislation for human consumption",2015,NA,"NIRDEP - National Institute for Marine Research and Development 'Grigore Antipa', 300 Mamaia Blvd, Constanta, Romania","2-s2.0-84946711939"
"93","Kandaz M.","Comparison of esophageal cancer incidence between the eastern anatolia and eastern black sea regions",2015,NA,"Department of Radiation Oncology, Karadeniz Technical University, Faculty of Medicine, Trabzon, Turkey","2-s2.0-84964509916"
"94","Stelmakh L.V.","Spatial and temporal variability of Carbon to Chlorophyll a ratio in Phytoplankton of the surface layer in shallow water areas of the Black Sea (Crimea)",2015,NA,"A.O. Kovalevsky Institute of Marine Biological Researches, 2, Nakhimov Av, Sevastopol, Ukraine","2-s2.0-84955501234"
"95","Okay A.I., Nikishin A.M.","Tectonic evolution of the southern margin of Laurasia in the Black Sea region",2015,7,"Eurasia Institute of Earth Sciences, Istanbul Technical University, Istanbul, Turkey; Department of Geology, Istanbul Technical University, Maslak, Istanbul, Turkey; Geological Faculty, Moscow State University, Moscow, Russian Federation","2-s2.0-84928584071"
"96","Er A., Kayis S.","Intensity and prevalence of some crustacean fish parasites in Turkey and their molecular identification",2015,NA,"Recep Tayyip Erdogan University, Rize, Turkey","2-s2.0-84947443163"
"97","Rusu L.","Wave modelling with data assimilation to evaluate the wave energy patterns in the Black Sea",2015,NA,"University ‘Dunarea de Jos’ of Galati, Department of Mechanical Engineering, Romania","2-s2.0-84946708187"
"98","Shtereva G., Velikova V., Doncheva V.","Human impact on marine water nutrients enrichment",2015,NA,"Institute of Oceanology, Bulgarian Academy of Sciences, P.O. Box 152, Varna, Bulgaria; SuRDEP, 15 La Vue, Wierda Glen Estate, Pretoria, South Africa","2-s2.0-84946735239"
"99","Eryilmaz L., Dalyan C.","Age, growth, and reproductive biology of turbot, scophthalmus maximus (Actinopterygii: Pleuronectiformes: Scophthalmidae), from the South-Western coasts of Black Sea, Turkey",2015,NA,"Department of Biology, Istanbul University, Istanbul, Turkey","2-s2.0-84936111847"
"100","Kovalyova M.","Morphometric characteristics of the shell and distribution along the crimean coast (Black Sea) of petricola lithophaga (Retzius, 1788) (Mollusca: Veneridae)",2015,NA,"Institute of Marine Biological Research RAS, Nakhimov Avenue 2, Sevastopol, Russian Federation","2-s2.0-84953379520"
"101","Taran K.V.","Revisiting the issue of far-left political parties in 1907-1909 (through the Example of Black Sea Governorate)",2015,1,"International Network Center for Fundamental and Applied Research, Russian Federation","2-s2.0-84930972388"
"102","Klisarova D., Gerdzhikov D.","Eutrophication of Varna Bay and coastal waters",2015,NA,"Institute of Fish Resources, Varna, Bulgaria","2-s2.0-84959150616"
"103","Karataev V.B., Volvenko A.A., Varfolomeev A.G.","The fight against emissaries across the Black Sea coastline area (1834-1847 years)",2015,2,"International Network Center for Fundamental and Applied Research, Russian Federation; Taganrog Inst. Named after A.P. Chekhov (Branch of the Rostov State University of Economics (RINH)), 46, Initsiativnaya Street, Taganrog, Rostov Region, Russian Federation; Southwestern State University, 50-years of October street, 94, Kursk, Kursk region, Russian Federation","2-s2.0-84944187117"
"104","Nikolov N., Pandelova A.L.","Calculation of oxygen concentration in the Black Sea using data from Argo automatic profiling floats",2015,NA,"Technical University of Sofia, 8 Kliment Ohridski Blvd., Sofia, Bulgaria","2-s2.0-84976367259"
